id,split,sha256,width,height,source_path,licence,permitted_use,dataset_v1_caption,training_caption,inclusion_reason,exclusion_reason
DS-0001,train,920d78e050546f77b1f0ca17444ac90bb6f5e9ce183499b0e81db7410053d445,512,1536,data/raw/minimal-geometric/geo-1000.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 1 of 24 (RQ4 size arm)",
DS-0002,train,2af5d6cf575fb844811c8710c461af256ebe4c2fdfd0b3b361e309437c5426b2,512,1536,data/raw/minimal-geometric/geo-1001.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 5 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 2 of 24 (RQ4 size arm)",
DS-0003,train,da5cd444d933ea201059a43c867e90afc6d312f81e4f42e5b9785f775ed3c39b,512,1536,data/raw/minimal-geometric/geo-1002.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 3 of 24 (RQ4 size arm)",
DS-0004,train,562ab6445b801b12e3e13b068fa9cc56ce6246f582eec48808d250e39461c027,512,1536,data/raw/minimal-geometric/geo-1003.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 4 of 24 (RQ4 size arm)",
DS-0005,train,aa5be5c7c00d4d81b837f8a3cc22fad7d90eff815c85606cbcdef551661cc406,512,1536,data/raw/minimal-geometric/geo-1004.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 5 of 24 (RQ4 size arm)",
DS-0006,train,1a131e435b40c435525d88bbb9a154fef4502ab24b232a85f4777aa60a281309,512,1536,data/raw/minimal-geometric/geo-1005.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 6 of 24 (RQ4 size arm)",
DS-0007,train,88e4ec0241ab815dc919fd828594360979bd154b4b323c031d1f88b945b23ec7,512,1536,data/raw/minimal-geometric/geo-1006.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 7 of 24 (RQ4 size arm)",
DS-0008,train,d2a40c674d3def05062a31bd8ce7dc15dfd51cf95919484aa276a045c2973a2a,512,1536,data/raw/minimal-geometric/geo-1007.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 8 of 24 (RQ4 size arm)",
DS-0009,train,0f287c682e5e0e5df75846fec966a67b3d038bef45104ddcd368d89c07203a08,512,1536,data/raw/minimal-geometric/geo-1008.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 9 of 24 (RQ4 size arm)",
DS-0010,train,bedaa204eea43caad5293fb8afd0b9aa73c57bb95abdfb762ddbe7c4c68647d5,512,1536,data/raw/minimal-geometric/geo-1009.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 10 of 24 (RQ4 size arm)",
DS-0011,train,418c8ad665413d2d809f98327b293e3ad343d624ef9fda740d289152a53ef4b3,512,1536,data/raw/minimal-geometric/geo-1010.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 11 of 24 (RQ4 size arm)",
DS-0012,train,6475e39ede8f539b7d60e248f11eb6c8c85f790b1868e6bf26d4a1eb6580ce8d,512,1536,data/raw/minimal-geometric/geo-1011.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 12 of 24 (RQ4 size arm)",
DS-0013,train,df9121d128811e49987a1811621ee9bbc36e98a723573ad790e934b19c9a0af6,512,1536,data/raw/minimal-geometric/geo-1012.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 5 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 13 of 24 (RQ4 size arm)",
DS-0015,train,56e3c4b0ee7940e23aa21702ddddbc92a32e849c15a34544b598d4e0a1bbc390,512,1536,data/raw/minimal-geometric/geo-1014.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 14 of 24 (RQ4 size arm)",
DS-0016,train,94a5e4194ffbda1c5bb2af942290d49de997ab21f67351abfa8a61fd04c021f8,512,1536,data/raw/minimal-geometric/geo-1015.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 15 of 24 (RQ4 size arm)",
DS-0017,train,94c1acfb880abc829d4dde053c198724cd523095a08622c5ddde9460a62b2bf9,512,1536,data/raw/minimal-geometric/geo-1016.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 16 of 24 (RQ4 size arm)",
DS-0018,train,ca0f1eb557220b671ece5d6dba64e8e8a126f5e9d37fb027710d4f1269eb2910,512,1536,data/raw/minimal-geometric/geo-1017.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 17 of 24 (RQ4 size arm)",
DS-0019,train,37d82cedcfa98bde283ed2659fe1ccfc2f429de0c2ac9da01655bbb60123b016,512,1536,data/raw/minimal-geometric/geo-1018.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 18 of 24 (RQ4 size arm)",
DS-0020,train,a3ed02ec548c911951d0931acc7c64c1fc799eef5f700717d2aaa2c73378a80f,512,1536,data/raw/minimal-geometric/geo-1019.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 19 of 24 (RQ4 size arm)",
DS-0023,train,a84060360efa3f96dc16592b2e8b6e0252a15799382a3666d9ace60119687609,512,1536,data/raw/minimal-geometric/geo-1022.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 20 of 24 (RQ4 size arm)",
DS-0024,train,17890b5487f8bd71f9d25823a80475f3c70f4a0e5879dfc638394261d08e29e6,512,1536,data/raw/minimal-geometric/geo-1023.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 21 of 24 (RQ4 size arm)",
DS-0025,train,030b3eb14c60a4361c5b83995dd6157b4c7afa0e63b243920367bc0d2ff9f914,512,1536,data/raw/minimal-geometric/geo-1024.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 22 of 24 (RQ4 size arm)",
DS-0027,train,4dcef61858abe29b7422d64d3bb22a59ab05e450c4d3c50339ae04653d698099,512,1536,data/raw/minimal-geometric/geo-1026.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 23 of 24 (RQ4 size arm)",
DS-0028,train,e51d8146d73a5713c055e66659185cecdf6a09c3f15fa1179547f6963b1e039a,512,1536,data/raw/minimal-geometric/geo-1027.png,project-original,unrestricted (project-original generated artwork),"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",xgeo minimal geometric abstract style skateboard decal artwork,"minimal-geometric train split, sorted by id ascending; position 24 of 24 (RQ4 size arm)",
