id,style,classification,content_phrase,training_caption
DS-0001,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0002,minimal-geometric,visual,abstract composition of 5 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0003,minimal-geometric,visual,abstract composition of 8 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0004,minimal-geometric,visual,abstract composition of 8 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0005,minimal-geometric,visual,abstract composition of 4 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0006,minimal-geometric,visual,abstract composition of 7 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0007,minimal-geometric,visual,abstract composition of 4 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0008,minimal-geometric,visual,abstract composition of 8 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0009,minimal-geometric,visual,abstract composition of 7 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0010,minimal-geometric,visual,abstract composition of 4 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0011,minimal-geometric,visual,abstract composition of 8 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0012,minimal-geometric,visual,abstract composition of 6 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0013,minimal-geometric,visual,abstract composition of 5 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0015,minimal-geometric,visual,abstract composition of 4 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0016,minimal-geometric,visual,abstract composition of 6 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0017,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0018,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0019,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0020,minimal-geometric,visual,abstract composition of 6 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0023,minimal-geometric,visual,abstract composition of 7 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0024,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0025,minimal-geometric,visual,abstract composition of 7 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0027,minimal-geometric,visual,abstract composition of 7 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0028,minimal-geometric,visual,abstract composition of 4 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0030,minimal-geometric,visual,abstract composition of 6 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0031,minimal-geometric,visual,abstract composition of 7 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0032,minimal-geometric,visual,abstract composition of 8 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0033,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0034,minimal-geometric,visual,abstract composition of 5 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0035,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0037,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0038,minimal-geometric,visual,abstract composition of 7 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0039,minimal-geometric,visual,abstract composition of 4 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0040,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0041,minimal-geometric,visual,abstract composition of 5 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0042,minimal-geometric,visual,abstract composition of 5 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0043,minimal-geometric,visual,abstract composition of 5 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0045,minimal-geometric,visual,abstract composition of 6 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0046,minimal-geometric,visual,abstract composition of 4 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0047,minimal-geometric,visual,abstract composition of 8 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0049,minimal-geometric,visual,abstract composition of 6 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0050,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0051,minimal-geometric,visual,abstract composition of 8 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0052,minimal-geometric,visual,abstract composition of 9 flat geometric shapes,xgeo minimal geometric abstract style skateboard decal artwork
DS-0094,ukiyo-e,truncated,night rain at karasaki from the series eight views of,xkyo ukiyo-e woodblock print style skateboard decal artwork
